Date,GOOGLE,AMZN
9/1/04,50.175175,38.240002
9/2/04,50.805805,39.18
9/3/04,50.055054,38.740002
9/7/04,50.840839,38.509998
9/8/04,51.201202,38.009998
9/9/04,51.206207,38.07
9/10/04,52.717716,38.57
9/13/04,53.803802,40.009998
9/14/04,55.8008,42.669998
9/15/04,56.056057,42.209999
9/16/04,57.042042,42.57
9/17/04,58.803802,42.959999
9/20/04,59.739738,43.27
9/21/04,58.978977,43.290001
9/22/04,59.249249,41.380001
9/23/04,60.47047,41.830002
9/24/04,59.974976,40.939999
9/27/04,59.18919,39.93
9/28/04,63.493492,39.43
9/29/04,65.605606,40.84
9/30/04,64.864868,40.860001
10/1/04,66.356354,40.470001
10/4/04,67.597595,41.009998
10/5/04,69.254257,40.959999
10/6/04,68.608612,41.360001
10/7/04,69.494492,41.150002
10/8/04,68.933937,40
10/11/04,67.697701,40.150002
10/12/04,68.768768,40.220001
10/13/04,70.520523,39.98
10/14/04,71.071068,39.099998
10/15/04,72.127129,38.549999
10/18/04,74.654655,39.27
10/19/04,74.044044,38.330002
10/20/04,70.315315,38.349998
10/21/04,74.764763,39.470001
10/22/04,86.3013,34.599998
10/25/04,93.793793,33.970001
10/26/04,90.99099,33.830002
10/27/04,93.078079,34.23
10/28/04,96.74675,34.450001
10/29/04,95.415413,34.130001
11/1/04,98.113113,35.099998
11/2/04,97.532532,36.240002
11/3/04,95.930931,35.919998
11/4/04,92.442444,36.91
11/5/04,84.759758,36.560001
11/8/04,86.361359,37.32
11/9/04,84.434433,37.400002
11/10/04,84.014015,38.09
11/11/04,91.601601,38.830002
11/12/04,91.091087,40.459999
11/15/04,92.527527,40.889999
11/16/04,86.356354,40.07
11/17/04,86.336334,39.900002
11/18/04,83.853851,40.369999
11/19/04,84.784782,38.549999
11/22/04,82.632629,38.049999
11/23/04,83.843842,38.310001
11/24/04,87.467468,38.75
11/26/04,89.784782,39.09
11/29/04,90.615616,38.939999
11/30/04,91.081078,39.68
12/1/04,90.070068,39.98
12/2/04,89.789787,40.169998
12/3/04,90.290291,40.09
12/6/04,88.233231,39.490002
12/7/04,85.800804,38.200001
12/8/04,85.075073,38.720001
12/9/04,86.801804,39.82
12/10/04,85.910912,39.049999
12/13/04,85.31031,39.830002
12/14/04,89.434433,40.439999
12/15/04,89.97998,41
12/16/04,88.323326,40.049999
12/17/04,90.130127,40.009998
12/20/04,92.6026,38.950001
12/21/04,91.966965,39.389999
12/22/04,93.24324,39.52
12/23/04,94.044044,38.93
12/27/04,96.051048,42.25
12/28/04,96.476479,44.630001
12/29/04,96.546547,44.82
12/30/04,98.898895,44.970001
12/31/04,96.491493,44.290001
1/3/05,101.456459,44.52
1/4/05,97.347351,42.139999
1/5/05,96.851852,41.77
1/6/05,94.36937,41.049999
1/7/05,97.022018,42.32
1/10/05,97.627625,41.84
1/11/05,96.866867,41.639999
1/12/05,97.787788,42.299999
1/13/05,97.762764,42.599998
1/14/05,100.085083,44.549999
1/18/05,102.052055,44.580002
1/19/05,98.748749,43.959999
1/20/05,97.05706,42.360001
1/21/05,94.234238,41.16
1/24/05,90.450447,40.380001
1/25/05,88.648651,40.939999
1/26/05,94.714714,41.34
1/27/05,94.134132,42.310001
1/28/05,95.265266,42.220001
1/31/05,97.907906,43.220001
2/1/05,96.046043,42.48
2/2/05,103.083084,41.880001
2/3/05,105.535538,35.75
2/4/05,102.28228,35.720001
2/7/05,98.113113,35.689999
2/8/05,99.419418,36.299999
2/9/05,95.885887,35.889999
2/10/05,94.084084,35.779999
2/11/05,93.793793,35.779999
2/14/05,96.591591,36.029999
2/15/05,97.712715,36.139999
2/16/05,99.304306,35.66
2/17/05,99.049049,35.689999
2/18/05,99.074074,35.310001
2/22/05,95.780777,34.720001
2/23/05,97.072075,34.139999
2/24/05,94.539543,34.689999
2/25/05,93.02803,34.990002
2/28/05,94.089088,35.18
3/1/05,93.123123,35.389999
3/2/05,92.682686,35.5
3/3/05,93.598602,35.650002
3/4/05,93.043045,35.849998
3/7/05,94.499496,36.32
3/8/05,92.692696,35.830002
3/9/05,90.765762,35.400002
3/10/05,90.080078,34.91
3/11/05,88.988991,34.75
3/14/05,87.582581,34.599998
3/15/05,89.394394,34.18
3/16/05,87.887886,33.869999
3/17/05,89.734734,33.970001
3/18/05,90.110107,34.16
3/21/05,90.530533,33.669998
3/22/05,89.389389,33.150002
3/23/05,89.579582,33.18
3/24/05,89.714714,32.880001
3/28/05,90.800804,33.389999
3/29/05,89.874878,33.43
3/30/05,90.315315,34.32
3/31/05,90.345345,34.27
4/1/05,90.110107,34.009998
4/4/05,92.73774,35
4/5/05,94.379379,35.279999
4/6/05,94.704704,34.82
4/7/05,96.976974,34.900002
4/8/05,96.121124,34.599998
4/11/05,96.711708,34.599998
4/12/05,97.07708,34.630001
4/13/05,96.561562,34.299999
4/14/05,95.820824,33.970001
4/15/05,92.59259,33.02
4/18/05,93.578575,33
4/19/05,95.795799,32.779999
4/20/05,99.149147,33.25
4/21/05,102.212212,33.73
4/22/05,108.013016,33.040001
4/25/05,111.876877,33.529999
4/26/05,109.484482,32.709999
4/27/05,110,31.719999
4/28/05,109.834831,32.52
4/29/05,110.110107,32.360001
5/2/05,111.256256,33.099998
5/3/05,113.208206,33.209999
5/4/05,114.364365,33.959999
5/5/05,113.603607,33.959999
5/6/05,114.124123,34.52
5/9/05,113.123123,34.639999
5/10/05,114.014015,34.23
5/11/05,115.760757,33.82
5/12/05,114.474472,33.849998
5/13/05,114.734734,33.900002
5/16/05,115.64064,34.540001
5/17/05,116.681679,34.73
5/18/05,119.699699,35.330002
5/19/05,119.709709,35.59
5/20/05,120.925926,35.5
5/23/05,127.852852,35.68
5/24/05,128.128128,35.540001
5/25/05,130.535538,35.25
5/26/05,129.729736,35.450001
5/27/05,133.133133,35.5
5/31/05,138.773773,35.509998
6/1/05,144.14415,36.5
6/2/05,144.094101,36.41
6/3/05,140.270264,35.59
6/6/05,145.615616,35.77
6/7/05,146.706711,35.349998
6/8/05,139.919922,34.830002
6/9/05,143.298294,35.200001
